Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,25.269,25.029,4.46121,2.9569,12.0478,0.01
1,24.795,24.683,4.54572,1.7301,8.336,0.01
2,24.73,24.611,4.51347,2.1286,8.9231,0.01
3,24.171,24.048,4.52242,2.0447,9.1119,0.01
4,24.353,24.234,4.49333,2.4117,9.9717,0.01
5,24.349,24.24,4.50378,2.4955,9.9612,0.01
0,24.805,24.56,4.22565,7.9061,22.8583,0.01
1,24.005,23.878,3.19111,25.1651,52.9097,0.01
2,24.216,24.094,2.52567,37.9994,68.0088,0.01
3,23.982,23.855,2.10215,47.2476,76.3762,0.01
4,23.539,23.416,1.8416,53.0146,80.9793,0.01
5,23.537,23.412,1.15592,68.7533,90.4897,0.001
6,23.551,23.426,0.97755,73.2935,92.8384,0.001
7,24.338,24.192,0.85384,76.6593,93.845,0.001
8,23.669,23.544,0.77712,78.4419,94.5371,0.0001
9,23.777,23.653,0.75409,78.4628,94.5685,0.0001
10,23.503,23.379,0.74417,79.0605,94.7782,0.0001
11,23.65,23.525,0.7464,79.1758,94.9984,0.00001
12,23.77,23.648,0.74598,78.9766,94.967,0.00001
13,24.273,24.154,0.72398,79.5953,95.0089,0.000001
14,24.456,24.338,0.73356,79.2597,95.0089,0.000001
15,24.631,24.511,0.7405,79.1024,94.8726,0.000001
16,24.58,24.46,0.72095,79.9203,95.1872,0.000001
17,24.537,24.416,0.72801,79.6687,94.8202,0.000001
18,24.553,24.432,0.72271,79.7421,94.8831,0.0000001
19,24.317,24.2,0.71431,79.7945,95.1662,0.0000001
20,24.285,24.168,0.73353,79.2597,95.1138,0.0000001
21,24.584,24.465,0.72012,79.6477,95.4074,0.00000001
22,24.625,24.504,0.73097,79.1863,94.8726,0.00000001
23,24.653,24.534,0.72412,79.0395,95.3759,0.00000001
24,24.53,24.412,0.74758,79.05,94.7887,0.00000001
25,24.561,24.442,0.73348,79.3017,95.0928,0.00000001
