Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,5.742,5.272,3.5217,24.924,38.7963,0.0005
1,5.424,4.979,0.75908,81.4197,94.5685,0.0005
2,5.282,4.825,0.25798,92.7231,99.1297,0.0005
3,5.368,4.92,0.14092,95.8058,99.7064,0.0005
4,5.134,4.68,0.099,96.9802,99.8637,0.0005
5,4.976,4.53,0.07183,98.0392,99.8742,0.0005
6,4.965,4.488,0.02896,99.245,99.9895,0.00005
7,4.813,4.356,0.01881,99.5072,99.9895,0.00005
8,5.033,4.575,0.01581,99.633,99.9895,0.00005
9,4.944,4.487,0.01514,99.6435,100,0.00005
10,4.975,4.51,0.01702,99.5911,99.9895,0.00005
11,4.831,4.375,0.01152,99.7379,100,0.000005
12,4.838,4.383,0.01201,99.7379,100,0.000005
13,4.766,4.302,0.01329,99.6645,99.9895,0.0000005
14,4.894,4.422,0.01192,99.7274,99.9895,0.0000005
15,4.885,4.41,0.01398,99.6959,99.979,0.0000005
16,4.882,4.432,0.01184,99.6959,100,0.0000005
17,4.797,4.339,0.01347,99.6959,100,0.00000005
18,4.808,4.352,0.01032,99.7798,100,0.00000005
19,4.828,4.372,0.0118,99.7903,99.9895,0.000000005
20,4.78,4.304,0.01242,99.6645,99.9895,0.000000005
21,5.098,4.63,0.01522,99.654,99.979,0.000000005
22,4.847,4.393,0.01374,99.633,100,0.000000005
23,5.039,4.567,0.014,99.6225,99.9581,0.000000005
24,4.861,4.404,0.01126,99.7903,100,0.000000005
25,4.934,4.48,0.0131,99.654,100,0.000000005
26,4.867,4.412,0.01204,99.7693,99.9895,0.000000005
27,4.897,4.439,0.01342,99.675,99.9895,0.000000005
28,4.826,4.371,0.01364,99.6959,99.9895,0.000000005
29,5.045,4.6,0.01196,99.6959,99.9895,0.000000005
30,4.858,4.405,0.01262,99.6854,100,0.000000005
31,4.831,4.375,0.01349,99.6225,100,0.000000005
32,4.904,4.439,0.01326,99.6016,99.9895,0.000000005
33,4.996,4.535,0.01127,99.7483,99.9895,0.000000005
